variable,category,ordinal_rank
qualite_isolation_enveloppe,"insuffisante",0
qualite_isolation_enveloppe,"moyenne",1
qualite_isolation_enveloppe,"bonne",2
qualite_isolation_enveloppe,"très bonne",3
qualite_isolation_murs,"insuffisante",0
qualite_isolation_murs,"moyenne",1
qualite_isolation_murs,"bonne",2
qualite_isolation_murs,"très bonne",3
qualite_isolation_menuiseries,"insuffisante",0
qualite_isolation_menuiseries,"moyenne",1
qualite_isolation_menuiseries,"bonne",2
qualite_isolation_menuiseries,"très bonne",3
classe_inertie_batiment,"Légère",0
classe_inertie_batiment,"Moyenne",1
classe_inertie_batiment,"Lourde",2
classe_inertie_batiment,"Très lourde",3
classe_altitude,"inférieur à 400m",0
classe_altitude,"400-800m",1
classe_altitude,"supérieur à 800m",2
code_departement_ban,"15",0
code_departement_ban,"48",1
code_departement_ban,"23",2
code_departement_ban,"63",3
code_departement_ban,"43",4
code_departement_ban,"58",5
code_departement_ban,"90",6
code_departement_ban,"974",7
code_departement_ban,"05",8
code_departement_ban,"75",9
code_departement_ban,"19",10
code_departement_ban,"10",11
code_departement_ban,"972",12
code_departement_ban,"81",13
code_departement_ban,"62",14
code_departement_ban,"71",15
code_departement_ban,"27",16
code_departement_ban,"28",17
code_departement_ban,"73",18
code_departement_ban,"02",19
code_departement_ban,"46",20
code_departement_ban,"45",21
code_departement_ban,"07",22
code_departement_ban,"70",23
code_departement_ban,"59",24
code_departement_ban,"39",25
code_departement_ban,"04",26
code_departement_ban,"09",27
code_departement_ban,"36",28
code_departement_ban,"16",29
code_departement_ban,"74",30
code_departement_ban,"22",31
code_departement_ban,"37",32
code_departement_ban,"61",33
code_departement_ban,"89",34
code_departement_ban,"08",35
code_departement_ban,"84",36
code_departement_ban,"80",37
code_departement_ban,"12",38
code_departement_ban,"41",39
code_departement_ban,"78",40
code_departement_ban,"92",41
code_departement_ban,"18",42
code_departement_ban,"79",43
code_departement_ban,"42",44
code_departement_ban,"93",45
code_departement_ban,"69",46
code_departement_ban,"60",47
code_departement_ban,"55",48
code_departement_ban,"03",49
code_departement_ban,"94",50
code_departement_ban,"95",51
code_departement_ban,"91",52
code_departement_ban,"24",53
code_departement_ban,"14",54
code_departement_ban,"82",55
code_departement_ban,"76",56
code_departement_ban,"44",57
code_departement_ban,"21",58
code_departement_ban,"88",59
code_departement_ban,"86",60
code_departement_ban,"56",61
code_departement_ban,"83",62
code_departement_ban,"67",63
code_departement_ban,"51",64
code_departement_ban,"25",65
code_departement_ban,"72",66
code_departement_ban,"47",67
code_departement_ban,"17",68
code_departement_ban,"68",69
code_departement_ban,"77",70
code_departement_ban,"30",71
code_departement_ban,"971",72
code_departement_ban,"50",73
code_departement_ban,"85",74
code_departement_ban,"26",75
code_departement_ban,"29",76
code_departement_ban,"33",77
code_departement_ban,"53",78
code_departement_ban,"40",79
code_departement_ban,"65",80
code_departement_ban,"87",81
code_departement_ban,"38",82
code_departement_ban,"54",83
code_departement_ban,"31",84
code_departement_ban,"01",85
code_departement_ban,"32",86
code_departement_ban,"52",87
code_departement_ban,"57",88
code_departement_ban,"49",89
code_departement_ban,"64",90
code_departement_ban,"13",91
code_departement_ban,"973",92
code_departement_ban,"35",93
code_departement_ban,"2A",94
code_departement_ban,"2B",95
code_departement_ban,"11",96
code_departement_ban,"34",97
code_departement_ban,"06",98
code_departement_ban,"66",99
type_energie_principale_chauffage,"Fioul domestique",0
type_energie_principale_chauffage,"GPL",1
type_energie_principale_chauffage,"Gaz naturel",2
type_energie_principale_chauffage,"Réseau de Chauffage urbain",3
type_energie_principale_chauffage,"Électricité",4
type_energie_principale_chauffage,"Bois – Bûches",5
type_energie_principale_chauffage,"Bois – Plaquettes forestières",6
type_energie_principale_chauffage,"Bois – Plaquettes d’industrie",7
type_energie_principale_chauffage,"Bois – Granulés (pellets) ou briquettes",8
type_generateur_chauffage_principal,"Chaudière fioul classique avant 1970",0
type_generateur_chauffage_principal,"Chaudière fioul classique 1970-1975",1
type_generateur_chauffage_principal,"Chaudière fioul classique 1976-1980",2
type_generateur_chauffage_principal,"Chaudière fioul classique 1981-1990",3
type_generateur_chauffage_principal,"Chaudière gaz classique avant 1981",4
type_generateur_chauffage_principal,"Chaudière gaz classique 1981-1985",5
type_generateur_chauffage_principal,"Chaudière gaz classique 1986-1990",6
type_generateur_chauffage_principal,"Chaudière gpl/propane/butane classique avant 1981",7
type_generateur_chauffage_principal,"Chaudière gpl/propane/butane classique 1981-1985",8
type_generateur_chauffage_principal,"Chaudière gpl/propane/butane classique 1986-1990",9
type_generateur_chauffage_principal,"Chaudière fioul standard 1991-2015",10
type_generateur_chauffage_principal,"Chaudière fioul basse température 1991-2015",11
type_generateur_chauffage_principal,"Chaudière gaz standard 1991-2000",12
type_generateur_chauffage_principal,"Chaudière gaz standard 2001-2015",13
type_generateur_chauffage_principal,"Chaudière gaz basse température 1991-2000",14
type_generateur_chauffage_principal,"Chaudière gaz basse température 2001-2015",15
type_generateur_chauffage_principal,"Chaudière gpl/propane/butane standard 1991-2000",16
type_generateur_chauffage_principal,"Chaudière gpl/propane/butane standard 2001-2015",17
type_generateur_chauffage_principal,"Chaudière gpl/propane/butane basse température 1991-2000",18
type_generateur_chauffage_principal,"Chaudière gpl/propane/butane basse température 2001-2015",19
type_generateur_chauffage_principal,"convecteur bi-jonction",20
type_generateur_chauffage_principal,"Autres émetteurs à effet joule",21
type_generateur_chauffage_principal,"Radiateur électrique à accumulation",22
type_generateur_chauffage_principal,"Cuisinière installé avant 1990",23
type_generateur_chauffage_principal,"Plancher ou plafond rayonnant électrique sans régulation terminale",24
type_generateur_chauffage_principal,"Poêle bûche installé avant 1990",25
type_generateur_chauffage_principal,"Poêle bûche installé entre 1990 et 2004",26
type_generateur_chauffage_principal,"Poêle bûche installé à partir de 2005 sans label flamme verte",27
type_generateur_chauffage_principal,"Poêle à granulés installée avant 2012 ou sans label flamme verte",28
type_generateur_chauffage_principal,"Poêle fioul ou GPL ou charbon",29
type_generateur_chauffage_principal,"Chaudière bois bûche avant 1978",30
type_generateur_chauffage_principal,"Chaudière bois granulés avant 1978",31
type_generateur_chauffage_principal,"Chaudière bois plaquette avant 1978",32
type_generateur_chauffage_principal,"Chaudière bois bûche 1978-1994",33
type_generateur_chauffage_principal,"Chaudière bois granulés 1978-1994",34
type_generateur_chauffage_principal,"Chaudière bois bûche 1995-2003",35
type_generateur_chauffage_principal,"Chaudière bois plaquette 1995-2003",36
type_generateur_chauffage_principal,"Chaudière fioul standard après 2015",37
type_generateur_chauffage_principal,"Chaudière fioul basse température après 2015",38
type_generateur_chauffage_principal,"Chaudière fioul à condensation 1996-2015",39
type_generateur_chauffage_principal,"Chaudière fioul à condensation après 2015",40
type_generateur_chauffage_principal,"autre système à combustion gaz",41
type_generateur_chauffage_principal,"Chaudière gaz standard après 2015",42
